msg_index,latency_ms,hot_count,cold_cluster_count,total_messages,triggered_graduation,triggered_merge
0,0.2562,1,0,1,false,false
1,0.0364,2,0,2,false,false
2,0.0389,3,0,3,false,false
3,0.0297,4,0,4,false,false
4,0.0259,5,0,5,false,false
5,0.0253,6,0,6,false,false
6,0.0243,7,0,7,false,false
7,0.0220,8,0,8,false,false
8,0.0238,9,0,9,false,false
9,0.0255,10,0,10,false,false
10,0.0424,11,0,11,false,false
11,0.3139,12,0,12,false,false
12,0.0297,13,0,13,false,false
13,0.0300,14,0,14,false,false
14,0.0263,15,0,15,false,false
15,0.0436,16,0,16,false,false
16,0.0285,17,0,17,false,false
17,0.0306,18,0,18,false,false
18,0.0307,19,0,19,false,false
19,0.0352,20,0,20,false,false
20,0.0330,21,0,21,false,false
21,0.0304,22,0,22,false,false
22,0.0314,23,0,23,false,false
23,0.0382,24,0,24,false,false
24,0.0327,25,0,25,false,false
25,0.0251,26,0,26,false,false
26,0.0305,27,0,27,false,false
27,0.0240,28,0,28,false,false
28,0.0230,29,0,29,false,false
29,0.0225,30,0,30,false,false
30,0.1040,30,1,31,true,false
31,0.1501,30,2,32,true,false
32,0.0638,30,3,33,true,false
33,0.3487,30,4,34,true,false
34,0.0901,30,5,35,true,false
35,0.1002,30,6,36,true,false
36,0.1865,30,7,37,true,false
37,0.1497,30,8,38,true,false
38,0.4137,30,9,39,true,false
39,0.2155,30,10,40,true,false
40,5.7889,30,10,41,true,true
41,0.7081,30,10,42,true,true
42,0.6520,30,10,43,true,true
43,0.3355,30,10,44,true,true
44,0.0894,30,10,45,true,true
45,0.0941,30,10,46,true,true
46,0.1914,30,10,47,true,true
47,0.0935,30,10,48,true,true
48,0.0763,30,10,49,true,true
49,0.0754,30,10,50,true,true
50,0.0845,30,10,51,true,true
51,0.0857,30,10,52,true,true
52,0.0793,30,10,53,true,true
53,0.2111,30,10,54,true,true
54,0.1110,30,10,55,true,true
55,0.0889,30,10,56,true,true
56,0.0891,30,10,57,true,true
57,0.0879,30,10,58,true,true
58,0.0847,30,10,59,true,true
59,0.0851,30,10,60,true,true
60,0.0893,30,10,61,true,true
61,0.0815,30,10,62,true,true
62,0.0823,30,10,63,true,true
63,0.0918,30,10,64,true,true
64,0.0820,30,10,65,true,true
65,0.2265,30,10,66,true,true
66,0.0909,30,10,67,true,true
67,0.1176,30,10,68,true,true
68,0.1258,30,10,69,true,true
69,0.0830,30,10,70,true,true
70,0.1181,30,10,71,true,true
71,0.0856,30,10,72,true,true
72,0.0826,30,10,73,true,true
73,0.0855,30,10,74,true,true
74,0.0854,30,10,75,true,true
75,0.0895,30,10,76,true,true
76,0.2097,30,10,77,true,true
77,0.0998,30,10,78,true,true
78,0.0894,30,10,79,true,true
79,0.1306,30,10,80,true,true
80,0.0864,30,10,81,true,true
81,0.0833,30,10,82,true,true
82,0.0950,30,10,83,true,true
83,0.0909,30,10,84,true,true
84,0.0825,30,10,85,true,true
85,0.0829,30,10,86,true,true
86,0.0865,30,10,87,true,true
87,0.0815,30,10,88,true,true
88,0.0801,30,10,89,true,true
89,0.3827,30,10,90,true,true
90,0.0994,30,10,91,true,true
91,0.0846,30,10,92,true,true
92,0.0829,30,10,93,true,true
93,0.0838,30,10,94,true,true
94,0.0841,30,10,95,true,true
95,0.0831,30,10,96,true,true
96,0.0810,30,10,97,true,true
97,0.0885,30,10,98,true,true
98,0.0942,30,10,99,true,true
99,0.0860,30,10,100,true,true
100,0.0822,30,10,101,true,true
101,0.1069,30,10,102,true,true
102,0.0913,30,10,103,true,true
103,0.1025,30,10,104,true,true
104,0.0921,30,10,105,true,true
105,0.0923,30,10,106,true,true
106,0.0952,30,10,107,true,true
107,0.0909,30,10,108,true,true
108,0.0917,30,10,109,true,true
109,0.0914,30,10,110,true,true
110,0.0988,30,10,111,true,true
111,0.0946,30,10,112,true,true
112,0.0935,30,10,113,true,true
113,0.2764,30,10,114,true,true
114,0.1015,30,10,115,true,true
115,0.0909,30,10,116,true,true
116,0.0875,30,10,117,true,true
117,0.0913,30,10,118,true,true
118,0.0898,30,10,119,true,true
119,0.0903,30,10,120,true,true
120,0.0870,30,10,121,true,true
121,0.0870,30,10,122,true,true
122,0.0852,30,10,123,true,true
123,0.0914,30,10,124,true,true
124,0.0908,30,10,125,true,true
125,0.1095,30,10,126,true,true
126,0.1027,30,10,127,true,true
127,0.1017,30,10,128,true,true
128,0.0919,30,10,129,true,true
129,0.1071,30,10,130,true,true
130,0.1581,30,10,131,true,true
131,0.0980,30,10,132,true,true
132,0.1007,30,10,133,true,true
133,0.1028,30,10,134,true,true
134,0.0977,30,10,135,true,true
135,0.0990,30,10,136,true,true
136,0.2184,30,10,137,true,true
137,0.0927,30,10,138,true,true
138,0.0908,30,10,139,true,true
139,0.0918,30,10,140,true,true
140,0.0885,30,10,141,true,true
141,0.0906,30,10,142,true,true
142,0.0929,30,10,143,true,true
143,0.0953,30,10,144,true,true
144,0.0844,30,10,145,true,true
145,0.0872,30,10,146,true,true
146,0.0914,30,10,147,true,true
147,0.1187,30,10,148,true,true
148,0.0828,30,10,149,true,true
149,0.0723,30,10,150,true,true
150,0.0715,30,10,151,true,true
151,0.0643,30,10,152,true,true
152,0.0657,30,10,153,true,true
153,0.0626,30,10,154,true,true
154,0.0614,30,10,155,true,true
155,0.0639,30,10,156,true,true
156,0.0620,30,10,157,true,true
157,0.0683,30,10,158,true,true
158,0.0695,30,10,159,true,true
159,0.0678,30,10,160,true,true
160,0.0650,30,10,161,true,true
161,0.0619,30,10,162,true,true
162,0.0624,30,10,163,true,true
163,0.1444,30,10,164,true,true
164,0.0627,30,10,165,true,true
165,0.0657,30,10,166,true,true
166,0.0619,30,10,167,true,true
167,0.0613,30,10,168,true,true
168,0.0606,30,10,169,true,true
169,0.0645,30,10,170,true,true
170,0.0670,30,10,171,true,true
171,0.0630,30,10,172,true,true
172,0.0659,30,10,173,true,true
173,0.0619,30,10,174,true,true
174,0.0610,30,10,175,true,true
175,0.0623,30,10,176,true,true
176,0.0610,30,10,177,true,true
177,0.0674,30,10,178,true,true
178,0.0700,30,10,179,true,true
179,0.0743,30,10,180,true,true
180,0.0801,30,10,181,true,true
181,0.0623,30,10,182,true,true
182,0.0624,30,10,183,true,true
183,0.0643,30,10,184,true,true
184,0.0611,30,10,185,true,true
185,0.0659,30,10,186,true,true
186,0.0624,30,10,187,true,true
187,0.0636,30,10,188,true,true
188,0.0637,30,10,189,true,true
189,0.0661,30,10,190,true,true
190,0.0683,30,10,191,true,true
191,0.0635,30,10,192,true,true
192,0.1802,30,10,193,true,true
193,0.0764,30,10,194,true,true
194,0.0626,30,10,195,true,true
195,0.0628,30,10,196,true,true
196,0.0663,30,10,197,true,true
197,0.0807,30,10,198,true,true
198,0.0783,30,10,199,true,true
199,0.0953,30,10,200,true,true
